StockCode,Country_top,recommended_price,predicted_qty,predicted_profit,unit_cost_assumed,hist_min_price,hist_max_price,median_price
POST,Other,9771.3,6.321976032611203,61705.647066301644,10.799999999999999,0.5,8142.75,18.0
POST,France,9771.3,4.099234608617025,40010.57939740647,10.799999999999999,0.5,8142.75,18.0
POST,Germany,9771.3,4.042506283495679,39456.88258005957,10.799999999999999,0.5,8142.75,18.0
POST,Netherlands,9771.3,2.3852563090624606,23281.294204604146,10.799999999999999,0.5,8142.75,18.0
M,EIRE,10782.72,1.6225862949909593,17492.62714217434,2.013176470588235,0.08,8985.6,3.355294117647059
M,Other,10782.72,1.6101243669318006,17358.278749312638,2.013176470588235,0.08,8985.6,3.355294117647059
M,Germany,10782.72,1.5503936992316842,16714.339932464023,2.013176470588235,0.08,8985.6,3.355294117647059
M,France,10782.72,1.5291854954539972,16485.700505283112,2.013176470588235,0.08,8985.6,3.355294117647059
M,United Kingdom,10782.72,1.5050251733128555,16225.235155517437,2.013176470588235,0.08,8985.6,3.355294117647059
M,Netherlands,10782.72,1.2413260113569704,13382.37180086064,2.013176470588235,0.08,8985.6,3.355294117647059
POST,United Kingdom,9771.3,1.1211345261907533,10942.833542884848,10.799999999999999,0.5,8142.75,18.0
DOT,United Kingdom,2808.948,1.4800996065365264,3992.938713533914,111.19800000000001,4.96,2340.79,185.33
22502,EIRE,380.6709523809524,5.316196905030301,2004.742915931598,3.57,2.0,317.22579365079366,5.95
22502,Netherlands,380.6709523809524,4.666480050746873,1759.734071403361,3.57,2.0,317.22579365079366,5.95
21136,Netherlands,30.587999999999997,48.87678325486278,1445.4819879793117,1.014,1.04,25.49,1.69
22502,Other,380.6709523809524,3.496746445059197,1318.6264146665328,3.57,2.0,317.22579365079366,5.95
22592,Netherlands,7.268000000000001,216.95271491847444,1088.6687234609049,2.25,3.39,7.62,3.75
23084,Other,5.178995073891626,268.18156112741264,1054.220395700425,1.248,1.79,4.315829228243022,2.08
23084,Netherlands,5.178995073891626,238.57918865053986,937.853615318333,1.248,1.79,4.315829228243022,2.08
21381,France,7.366666666666667,147.1226100401817,934.6209007152611,1.014,1.45,7.5,1.6900000000000002
